# LongYin English canonical data - generated from the complete user translation corpus
依山而建，殿宇嵯峨，气势雄伟的寺庙群，金顶与红幡白墙交相辉映，颇为肃穆庄严。传闻其僧众极擅炮制高原珍稀药材，以此制成之藏药更是具有枯骨生肌，返老还童等神奇功效。	A grand mountain palace-temple complex with sacred significance.
天山之巅池泽中有玄冰一块，终年不化，阴寒刺骨，常人只需靠近便感周身冰结，血脉凝固，堪称世间至阴至寒之物。天山弟子卧于其上修炼，配合至阴至阳之心法，自是各有奇效。	An extremely cold pool used for yin-based cultivation.
上倚河汉，下临江流，重檐叠翼，巍峨耸峙，传说费祎登仙尝驾黄鹤憩于此，远眺烟波江上，孤帆远影，堪称荆吴景胜之最。名士高人，青年才俊，亦多在此游历交友，切磋技艺。	A famous scenic tower overlooking river landscapes.
一座气势森然的高台，其上陈列有各式刀兵数百把，大小各异，长短不一，刀光凛凛，耀眼夺目。霸刀门弟子常在此演习刀法，试用兵刃，劈金碎石之声如雷霆惊乍，不绝于耳。	A platform for testing weapons and martial techniques.
一方清澈见底的水池，池中或卧或立有刀兵剑刃无数，乃是铸剑山庄历代冶炼积累之残次品及试验品。以此池水淬炼兵器，可感应池中无穷剑意，所得之锋利坚韧远非凡俗可比。	A pool filled with broken swords used for tempering weapons.
历代于此石壁之上不断穿凿而成，号称洞窟千余，其中禅室林立，佛像众多，四壁多绘有壁画，极为宏伟瑰丽。更兼藏经洞窟，内有书卷典籍无数，引得众多高僧大德前来修行。	A vast complex of Buddhist grottoes filled with murals and scriptures.
点苍山麓，洱海之滨，寺中有三塔峙立，金碧交辉，香火鼎盛，以五大重器闻名于世，堪称西南第一佛刹。传闻其间僧众不乏极擅医术者，慈悲为怀，济世救民，一时传为佳话。	A renowned temple complex known for its towers and medicinal traditions.
于崇山峻岭间开凿而成，险要奇崛之关口，黄鹤高飞不得过，猿猱欲度愁攀援。阎罗殿弟子想正式入门，需要在此通过极为艰险严苛之考验，方能闯过鬼门关，入修罗之道。	A dangerous checkpoint used as a martial trial entrance.
崆峒之山，险恶奇绝，传说有山洞七十二处，深不可测，不知所通，经历代穿凿后，更是相互勾连，回环曲折。崆峒弟子借此地势修炼奇门绝技，往往险招百出，防不胜防。	A complex of interconnected caves used for secret training.
平坦辽阔的环形赛场，用于修习马术或举行赛马大会。飞龙门弟子时常居于其间细心观察，挑选筋强骨健者作为坐骑。按照门规一旦选中，则一人一马形影不离，生死相依。	A large arena for horse training and racing competitions.
由星罗棋布，错综复杂的引水渠道和大小水库组成的庞大水利工程，其渠可行舟，亦可作浇灌汲饮之用，蜀中以此灌溉沃野千里，并罕有水灾泛滥，终成其“天府”之美名。	An ancient irrigation system used for flood control and agriculture.
世人皆道烟花柳巷为寻乐之处，却不知此处才是世间极乐之所，其间珍馐美馔罗列星陈，朱颜粉黛婀娜逦迤，朝歌夜弦，纸醉金迷，便是王公贵族也以能在此享乐为荣。	A luxurious district of indulgence and excess entertainment.
地处丹崖山峦，东临碣石，以观沧海，传说八仙过海始于此处，蓬莱弟子登临此地，观琼瑶仙境，海市蜃楼之奇景，以此融入剑法剑意之中，轻灵飘逸确不似凡间所有。	A legendary seaside pavilion linked to immortals.
纯铜铸造之宝殿，通体以金箔敷盖，在旭日映射之下，灿烂辉煌，迢耀天地，恍若佛光普照。峨眉弟子多在此观览云海升腾，感悟天地灵韵，从而精进修为，提升武艺。	A sacred golden temple located at a mountain peak.
历史悠久的皇家祭祀园林，其规模宏伟，由诸多祠堂，亭台，庙宇，楼阁及造景构成。历代皇帝皆会在此例行祭祀，本朝更是不断兴修亭台，扩建园林，以壮其威仪。	A historic imperial ritual Garden complex.
峨眉高人走火入魔之时无意所创，需泯灭本心，断绝七情六欲，出手之时自然无牵无挂，无所顾忌，只求速杀，于敌于己皆不留丝毫余地，因其杀心过盛不可轻易使用	A monkey-inspired boxing style emphasizing agility and extended striking range.
12月初8乃释迦摩尼悟道成佛之日，家家户户会以各种谷物豆类，混合红枣花生莲子枸杞桂圆核桃等干果，佐以红糖白糖熬煮成一锅香甜浓郁的腊八粥以表纪念。	The eighth day of the twelfth lunar month marks the day Shakyamuni attained enlightenment and became a Buddha. Families commemorate it by simmering a rich, sweet Laba porridge made from various grains and beans, mixed with dried fruits and nuts such as red dates, peanuts, lotus seeds, goji berries, longan, and walnuts, sweetened with brown and white sugar.
瘴气密布，暗流涌动的墨绿毒池，五毒教历代炼蛊试毒之产物，江湖中人闻风丧胆的金蚕王蛊便是出自其中，功力薄弱者只需稍稍靠近，便会头晕眼花，倒地不起。	A toxic pool used for refining poisons and gu techniques.
神妙非凡，玄机莫测，与凡间剑法有云泥之别，传说乃火龙真人所授仙法，吕祖有诗赞曰：庞眉斗竖恶精神，万里腾空一踊身。背上匣中三尺剑，为天且示不平人。	A legendary immortal technique said to originate from Huolong Zhenren, describing transcendent sword intent that exists beyond ordinary martial forms and strikes with celestial authority.
一处平坦广阔之木台，不论三教九流，鸡鸣狗盗之徒，乃至衣衫褴褛之乞丐，皆可登台或坐而论道，或一展拳脚，丐帮择其贤者招揽，因而人才济济，冠绝东南。	An open platform for martial debates and talent recruitment.
黄河裹挟泥沙而下，冲积而成一处水草丰美，沃野千里的天然牧场，不仅可作粮食生产，更是以盛产名驹战马而天下闻名，难怪俗语有云：黄河百害，唯富一套。	A large horse-breeding ground known for warhorses.
此书院自本朝开科取士以来，登第者多达六十余人。远近文人学子皆心向往之，慕名求学者亦是络绎不绝，因而成为一处文人武客交流技艺，买卖藏书之胜地。	A prestigious academy known for producing scholars and talents.
依山而建，重檐叠砌之宫殿，上应紫薇星宿，下合帝君方位，聚气藏风，水脉绵延，武当派弟子多在此修习道家心法和上乘内功，以求感通天地，阴阳调和。	A Taoist palace aligned with celestial energy for inner cultivation.
蓬莱派第三代掌门凌霄子在海边练剑时，曾目睹海市蜃楼间仙女舞剑，便默记下招式，最终创出这套碧海飞仙剑，其招飘逸绝伦，使人如见飞仙之丰神绰约。	The “Blue Sea Flying Immortal Sword,” created by the third-generation Penglai leader after witnessing a celestial maiden’s sword dance in a mirage; its style is elegant and transcendent.
