# LongYin English canonical data - generated from the complete user translation corpus
Five Venoms Sect	Five Poisons Sect
Juxian Town	Zhuxian Town
Beggars' Sect	Beggars Sect
Beggars’Sect	Beggars Sect
Beggars'Sect	Beggars Sect
Five Venom's Sect	Five Poisons Sect
Five Venon's Sect	Five Poisons Sect
The Five Venoms Sect	Five Poisons Sect
Five Venoms	Five Poisons Sect

# TEST11 display normalization
Festival Lanterns	Lantern Festival
The Debate Competition	Debate Competition
The Martial Arts Competition	Martial Arts Tournament
CommonHook	Common Hook
CommonAccessory	Common Accessory
SuperiorAccessory	Superior Accessory
InferiorAccessory	Inferior Accessory
CommonFootwear	Common Footwear
SuperiorFootwear	Superior Footwear
InferiorFootwear	Inferior Footwear
CommonArmor	Common Armor
SuperiorArmor	Superior Armor
InferiorArmor	Inferior Armor
CommonWeapon	Common Weapon
SuperiorWeapon	Superior Weapon
InferiorWeapon	Inferior Weapon
CommonHelmet	Common Helmet
SuperiorHelmet	Superior Helmet
InferiorHelmet	Inferior Helmet
SuperiorJewels	Superior Jewels
CommonJewels	Common Jewels
Prime DiscipleTaoist	Prime Disciple Taoist
A reward of120	A reward of 120

# TEST12 spacing / display normalization
CommonHorse	Common Horse
SuperiorHorse	Superior Horse
InferiorHorse	Inferior Horse
PerfectHorse	Perfect Horse
FineHorse	Fine Horse
PeerlessHorse	Peerless Horse
FineFootwear	Fine Footwear
PerfectFootwear	Perfect Footwear
PeerlessFootwear	Peerless Footwear
FineArmor	Fine Armor
PerfectArmor	Perfect Armor
PeerlessArmor	Peerless Armor
FineHelmet	Fine Helmet
PerfectHelmet	Perfect Helmet
PeerlessHelmet	Peerless Helmet
FineAccessory	Fine Accessory
PerfectAccessory	Perfect Accessory
PeerlessAccessory	Peerless Accessory
FineWeapon	Fine Weapon
PerfectWeapon	Perfect Weapon
PeerlessWeapon	Peerless Weapon
SuperiorWine Vessels	Superior Wine Vessels
JingchengPorcelain	Jingcheng Porcelain
Shenji SectWarehouse	Shenji Sect Warehouse
Golden Dragon GangTraining	Golden Dragon Gang Training
Auction Fairhas	Auction Fair has
auction item将	auction item
this sessionAuction	this session Auction

# TEST13 display normalization
SuperiorFist	Superior Fist
AdvancedFist	Advanced Fist
AdvancedArchery	Advanced Archery
AdvancedSword	Advanced Sword
AdvancedBlade	Advanced Blade
AdvancedPolearm	Advanced Polearm
AdvancedQimen	Advanced Qimen
SuperiorSword	Superior Sword
SuperiorBlade	Superior Blade
SuperiorPolearm	Superior Polearm
SuperiorQimen	Superior Qimen
SuperiorArchery	Superior Archery
CommonHeadgear	Common Headgear
SuperiorHeadgear	Superior Headgear
InferiorHeadgear	Inferior Headgear
CommonSaddle Gear	Common Saddle Gear
High-quality saddles	High-quality Saddle
High-quality Saddle	Quality Saddle
Ordinary Heavy Armor	Heavy Armor
Ordinary Heavy Boots	Heavy Boots
Ordinary Heavy Helm	Heavy Helm
Ordinary short sword	Short Sword
Ordinary long spear	Long Spear
Ordinary buckle	Buckle
Ordinary straw hats	Straw Hat
Rare book	Rare Manual
AppearanceArchery	Basic Archery
Speedx	Speed x
Auction Fairends	Auction Fair ends
Auction Fairis	Auction Fair is
auction itemwill	auction item will
auction item是	auction item is
participants踊	participants 
Great Hero也	heroes 
Jingcheng城	Jingcheng
MineMine	Mine for
FactionSect Leader	Sect Leader
Official Position，	Official Position,
Reputation GainSpeed	Reputation Gain Speed

# TEST15 English normalization / canonical spacing
PinnacleFist	Pinnacle Fist
PinnacleQimen	Pinnacle Qimen
PinnacleSword	Pinnacle Sword
PinnacleBlade	Pinnacle Blade
PinnaclePolearm	Pinnacle Polearm
PinnacleArchery	Pinnacle Archery
Secret ArtFist	Secret Fist
Secret ArtSword	Secret Sword
