# Generated rules
^([0-9]+)年1月([0-9]+)日\s*$	January $2, Year $1	年
^([0-9]+)年2月([0-9]+)日\s*$	February $2, Year $1	年
^([0-9]+)年3月([0-9]+)日\s*$	March $2, Year $1	年
^([0-9]+)年4月([0-9]+)日\s*$	April $2, Year $1	年
^([0-9]+)年5月([0-9]+)日\s*$	May $2, Year $1	年
^([0-9]+)年6月([0-9]+)日\s*$	June $2, Year $1	年
^([0-9]+)年7月([0-9]+)日\s*$	July $2, Year $1	年
^([0-9]+)年8月([0-9]+)日\s*$	August $2, Year $1	年
^([0-9]+)年9月([0-9]+)日\s*$	September $2, Year $1	年
^([0-9]+)年10月([0-9]+)日\s*$	October $2, Year $1	年
^([0-9]+)年11月([0-9]+)日\s*$	November $2, Year $1	年
^([0-9]+)年12月([0-9]+)日\s*$	December $2, Year $1	年
^<color\\=#B40000>极难(\\-[0-9]{1,2})</color>$	<color\\=#B40000>Extremely Hard $1</color>	极难
^<color\\=#960000>困难(\\-[0-9]{1,2})</color>$	<color\\=#960000>Hard $1</color>	困难
^<color\\=#960000>较难(\\-[0-9]{1,2})</color>$	<color\\=#960000>Relatively Hard $1</color>	较难
^平衡([-+]?[0-9]{1})	Balanced $1	平衡
^<color\\=#009600>较易(\\+[0-9]{1,2})</color>$	<color\\=#009600>Relatively Easy $1</color>	较易
^<color\\=#009600>容易(\\+[0-9]{1,2})</color>$	<color\\=#00B400>Easy $1</color>	容易
^<color\\=#00B400>极易(\\+[0-9]{1,2})</color>$	<color\\=#00B400>Extremely Easy $1</color>	极易
^声望倍率\\s*(.*)$	Reputation multiplier $1	声望倍率
^经验倍率\\s*(.*)$	Experience multiplier $1	经验倍率
^负重倍率\\s*(.*)$	Carry weight multiplier $1	负重倍率
^恶名获取\\s*(.*)$	Notoriety gained $1	恶名获取
^随机敌人数量\\s*(<color\\=#\\d{6}>)([-+][0-9]{1,3}%)</color>$	Number of random enemies $1 $2 </color>	随机敌人数量
^随机敌人强度\\s*(<color\\=#\\d{6}>)([-+][0-9]{1,3}%)</color>$	Random enemy strength $1 $2 </color>	随机敌人强度
^武学上限\\s*(<color\\=#\\d{6}>)([-+][0-9]{1,3}%)</color>$	Martial arts study limit $1 $2 </color>	武学上限
^非本门弟子经验\\s*(<color\\=#\\d{6}>)([-+][0-9]{1,3}%)</color>$	Experience for non-disciples $1 $2 </color>	非本门弟子经验
<color\\=grey><size\\=17>残垣 (.+)级</size></color>	<color\\=grey><size\\=17>Ruins Level $1</size></color>	残垣
<size\\=17>道路\\s零级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 0</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s一级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 1</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s二级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 2</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s三级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 3</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s四级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 4</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s五级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 5</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s六级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 6</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s七级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 7</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s八级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 8</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s九级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 9</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
<size\\=17>道路\\s十级</size>\\n\\n每月产出\\n<color\\=#00B400>人口\\+([0-9]+)</color>\\n\\n周边效率\\+([0-9]+)%	<size\\=17>Road Level 10</size>\\n\\nMonthly Output\\n<color\\=#00B400>Population+$1</color>\\n\\nNearby Efficiency+$2%	每月产出
^力道潜力\\s*([+-]?[0-9]+)$	Strength Potential $1	力道潜力
^灵巧潜力\\s*([+-]?[0-9]+)$	Agility Potential $1	灵巧潜力
^智力潜力\\s*([+-]?[0-9]+)$	Intelligence Potential $1	智力潜力
^意志潜力\\s*([+-]?[0-9]+)$	Willpower Potential $1	意志潜力
^体质潜力\\s*([+-]?[0-9]+)$	Constitution Potential $1	体质潜力
^经脉潜力\\s*([+-]?[0-9]+)$	Meridians Potential $1	经脉潜力
^内功潜力\\s*([+-]?[0-9]+)$	Internal Art Potential $1	内功潜力
^轻功潜力\\s*([+-]?[0-9]+)$	Movement Art Potential $1	轻功潜力
^绝技潜力\\s*([+-]?[0-9]+)$	Body Art Potential $1	绝技潜力
^拳掌潜力\\s*([+-]?[0-9]+)$	Fist Potential $1	拳掌潜力
^剑法潜力\\s*([+-]?[0-9]+)$	Sword Potential $1	剑法潜力
^刀法潜力\\s*([+-]?[0-9]+)$	Blade Potential $1	刀法潜力
^长兵潜力\\s*([+-]?[0-9]+)$	Polearm Potential $1	长兵潜力
^奇门潜力\\s*([+-]?[0-9]+)$	Qimen Potential $1	奇门潜力
^射术潜力\\s*([+-]?[0-9]+)$	Archery Potential $1	射术潜力
^医术潜力\\s*([+-]?[0-9]+)$	Medicine Potential $1	医术潜力
^毒术潜力\\s*([+-]?[0-9]+)$	Poison Potential $1	毒术潜力
^学识潜力\\s*([+-]?[0-9]+)$	Knowledge Potential $1	学识潜力
^口才潜力\\s*([+-]?[0-9]+)$	Eloquence Potential $1	口才潜力
^采伐潜力\\s*([+-]?[0-9]+)$	Extraction Potential $1	采伐潜力
^木植潜力\\s*([+-]?[0-9]+)$	Gathering Potential $1	木植潜力
