# Original game building name -> canonical English display name
七十二洞	Seventy-Two Caves
布达拉宫	Potala Palace
应天书院	Yingtian Academy
河套马场	Hetao Horse Ranch
烟花柳巷	Pleasure District
万毒池	Pool of Ten Thousand Poisons
万花谷	Valley of Ten Thousand Flowers
兵器铺	Weapon Shop
华阳洞	Huayang Cave
大会台	Grand Stage
大运河	Grand Canal
崇圣寺	Chongsheng Temple
工匠坊	Artisan Workshop
星辰楼	Star Pavilion
机关坊	Mechanism Workshop
材料铺	Materials Shop
火炼室	Fire Refinement Room
灵塔殿	Spirit Pagoda Hall
炼丹炉	Alchemy Furnace
玄冰池	Black Ice Pool
珍宝铺	Treasure Shop
甘棠港	Gantang Port
疗伤室	Infirmary
紫霄宫	Zixiao Palace
练武场	Training Grounds
莫高窟	Mogao Caves
蓬莱阁	Penglai Pavilion
藏经阁	Scripture Pavilion
试刀台	Blade Testing Platform
赛马场	Racetrack
都江堰	Dujiangyan
铜人阵	Bronze Man Formation
销金窟	Den of Wealth Consumption
闭关室	Seclusion Chamber
鬼门关	Ghost Gate Pass
黄鹤楼	Yellow Crane Tower
仓库	Warehouse
仓房	Storage Room
农田	Farmland
分舵	Branch
剑池	Sword Pool
医馆	Medical Hall
告示	Notice Board
园林	Garden
官府	Government Office
客房	Guest Room
客栈	Inn
宿舍	Dormitory
岗哨	Outpost
工棚	Work Shed
摊贩	Stall Vendor
晋祠	Jin Temple
暗室	Secret Room
木匠	Carpenter
校场	Training Field
森林	Forest
正厅	Main Hall
武馆	Martial Arts School
民宅	Residence
皇宫	Imperial Palace
石坊	Quarry
矿场	Mine
磨坊	Mill
祠堂	Ancestral Hall
私塾	Private School
私宅	Private Residence
药园	Herb Garden
药房	Pharmacy
酒馆	Tavern
金顶	Golden Summit
钱庄	Treasury
长城	Great Wall
集市	Marketplace
静室	Quiet Room
驻所	Garrison
驿站	Waystation
