# LongYin English canonical data - generated from the complete user translation corpus
<size=18>"Heaven Burning Staff Shadow"</size>\n<i>Jianghu<color=#9A7CFF>Secret Transmission Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>基础伤害 16</color></b>\n<size=14><color=#0066FF>内力消耗 21</color></size>\n<color=#00B400>压制+5%</color>\n<color=#00B400>重碾+5%</color>\n\n伤害加成 \n意志<color=#2779FA>上</color> 长兵<color=#9A7CFF>精</color> 内力<color=#2779FA>上</color>\n\n进攻架势 \n头16|胸8\n防御架势 \n头4|胸6\n\n升级效果\n<color=#00B400>长兵潜力+1</color>\n<color=#00B400>长兵+1</color>\n<color=#00B400>意志+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n<color=#B40000>意志30</color>/<color=#B40000>长兵40</color>\n\n<color=grey><i>此棍法以攻代守，全力狂舞之时，棍影遮天蔽日，旨在以舍身之势压倒敌人的战意</i></color>\n\n重量4\n价值4800	<size=18>"Heaven Burning Staff Shadow"</size>\n<i>Jianghu<color=#9A7CFF>Secret Transmission Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 16</color></b>\n<size=14><color=#0066FF>Inner Force Cost 21</color></size>\n<color=#00B400>Suppression +5%</color>\n<color=#00B400>Heavy Crush +5%</color>\n\nDamage Scaling\nWillpower<color=#2779FA>High</color> Polearm<color=#9A7CFF>Superior</color>\nInner Force <color=#2779FA>High</color>\n\nOffensive Stance Head 16 | Chest 8  \\nDefensive Stance Head 4 | Chest 6  \\n\\nUpgrade Effect\n<color=#00B400>Polearm Potential +1</color>\n<color=#00B400>Polearm +1</color>\n<color=#00B400>Willpower +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\n<color=#B40000>Willpower 30</color>/<color=#B40000>Polearm 40</color>\n\n<color=grey><i>This staff technique uses offense as defense. When wielded with full force, the staff's shadow obscures the sky, aiming to overwhelm the enemy's fighting spirit through sheer momentum.</i></color>\n\nWeight 4\\nValue 4800
<size=18>"Azure Dragon Blade"</size>\n<i>Jianghu<color=#78BE00>Advanced Blade Technique</color><color=#8C8C8C>Incomplete Manual</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 12</color></b>\n<size=14><color=#0066FF>Inner Force Consumption 11</color></size>\n<color=#00B400>Armor Piercing +6%</color>\n\nDamage Bonus Meridians<color=#78BE00>Medium</color> Blade<color=#2779FA>High</color>\nInner Force <color=#78BE00>Medium</color>\n\nUpgrade Effect\n<color=#00B400>Blade +1</color>\n<color=#00B400>Meridians+1</color>\n\nTraining Requirement: Blade 10\n<i><color=grey>Left Shift for Details</color></i>\n\n重量2\n价值1000	<size=18>"Azure Dragon Blade"</size>\n<i>Jianghu<color=#78BE00>Advanced Blade</color><color=#8C8C8C>Incomplete Manual</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 12</color></b>\n<size=14><color=#0066FF>Inner Force Consumption 11</color></size>\n<color=#00B400>Armor Piercing +6%</color>\n\nDamage Bonus Meridians<color=#78BE00>Medium</color> Blade<color=#2779FA>High</color>\nInner Force <color=#78BE00>Medium</color>\n\nUpgrade Effect\n<color=#00B400>Blade +1</color>\n<color=#00B400>Meridians+1</color>\n\nTraining Requirement: Blade 10\n<i><color=grey>Left Shift for Details</color></i>\n\nWeight 2\\nValue 1000
<size=18>Hundred Beasts Blade</size>\n<i>Jianghu<color=#2779FA>Superior Blade Technique</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>基础伤害 14</color></b>\n<size=14><color=#0066FF>内力消耗 12</color></size>\n<color=#00B400>活血+10%</color>\n\n伤害加成 \n体质<color=#9A7CFF>精</color> 刀法<color=#9A7CFF>精</color> 内力<color=#78BE00>中</color>\n\n进攻架势 \n胸8|手13\n防御架势 \n胸6|手4\n\n升级效果\n<color=#00B400>刀法+1</color>\n<color=#00B400>体质+1</color>\n<color=#00B400>绝技+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n体质15/<color=#B40000>刀法30</color>\n\n<color=grey><i>效仿百兽形意之刀法，其招式威猛霸道，颇具熊虎之姿，对修习者的体魄大有裨益</i></color>\n\n重量3\n价值2800	<size=18>Hundred Beasts Blade</size>\n<i>Jianghu<color=#2779FA>Superior Blade</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 14</color></b>\n<size=14><color=#0066FF>Inner Force Cost 12</color></size>\n<color=#00B400>Blood Circulation +10%</color>\n\nDamage Scaling Constitution<color=#9A7CFF>Superior</color> Blade<color=#9A7CFF>Superior</color>\nInner Force <color=#78BE00>Medium</color>\n\nAttack Stance: Chest 8 | Hand 13  \\nDefense Stance: Chest 6 | Hand 4  \\n\\nUpgrade Effect\n<color=#00B400>Blade +1</color>\n<color=#00B400>Constitution +1</color>\n<color=#00B400>Body Art +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\nConstitution 15/<color=#B40000>Blade 30</color>\n\n<color=grey><i>A blade technique that mimics the forms and intentions of a hundred beasts. Its moves are fierce and domineering, resembling the stances of bears and tigers, greatly benefiting the practitioner's physique.</i></color>\n\nWeight 3\\nValue 2800
<size=18>《焚天棍影》</size>\n<i>江湖<color=#9A7CFF>秘传长兵</color><color=#78BE00>仿本</color></i>\n<color=#B40000>(未习得)</color>\n\n<b><color=#FF8C00>基础伤害 16</color></b>\n<size=14><color=#0066FF>内力消耗 21</color></size>\n<color=#00B400>压制+5%</color>\n<color=#00B400>重碾+5%</color>\n\n伤害加成 \n意志<color=#2779FA>上</color> 长兵<color=#9A7CFF>精</color> 内力<color=#2779FA>上</color>\n\n进攻架势 \n头16|胸8\n防御架势 \n头4|胸6\n\n升级效果\n<color=#00B400>长兵潜力+1</color>\n<color=#00B400>长兵+1</color>\n<color=#00B400>意志+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n<color=#B40000>意志30</color>/<color=#B40000>长兵40</color>\n\n<color=grey><i>此棍法以攻代守，全力狂舞之时，棍影遮天蔽日，旨在以舍身之势压倒敌人的战意</i></color>\n\n重量4\n价值4800	<size=18>"Heaven Burning Staff Shadow"</size>\n<i>Jianghu<color=#9A7CFF>Secret Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 16</color></b>\n<size=14><color=#0066FF>Inner Force Cost 21</color></size>\n<color=#00B400>Suppression +5%</color>\n<color=#00B400>Heavy Crush +5%</color>\n\nDamage Scaling\nWillpower<color=#2779FA>High</color> Polearm<color=#9A7CFF>Superior</color>\nInner Force <color=#2779FA>High</color>\n\nOffensive Stance Head 16 | Chest 8  \\nDefensive Stance Head 4 | Chest 6  \\n\\nUpgrade Effect\n<color=#00B400>Polearm Potential +1</color>\n<color=#00B400>Polearm +1</color>\n<color=#00B400>Willpower +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\n<color=#B40000>Willpower 30</color>/<color=#B40000>Polearm 40</color>\n\n<color=grey><i>This staff technique uses offense as defense. When wielded with full force, the staff's shadow obscures the sky, aiming to overwhelm the enemy's fighting spirit with a suicidal momentum. \\n\\n</i></color>\n\nWeight 4\\nValue 4800
<size=18>Hundred Change Diamond Spear</size>\n<i>Jianghu<color=#2779FA>High-grade Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>基础伤害 14</color></b>\n<size=14><color=#0066FF>内力消耗 13</color></size>\n<color=#00B400>笨拙+10%</color>\n\n伤害加成 \n智力<color=#2779FA>上</color> 体质<color=#2779FA>上</color> 长兵<color=#2779FA>上</color>\n\n进攻架势 \n心19\n防御架势 \n心12\n\n升级效果\n<color=#00B400>长兵+1</color>\n<color=#00B400>体质+1</color>\n<color=#00B400>绝技+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n智力20/体质20/<color=#B40000>长兵30</color>\n\n<color=grey><i>招式繁复多变的枪法，据说由悟性高超之人使出，能产生上百种变化</i></color>\n\n重量3\n价值2400	<size=18>Hundred Change Diamond Spear</size>\n<i>Jianghu<color=#2779FA>High-grade Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 14</color></b>\n<size=14><color=#0066FF>Inner Force Cost 13</color></size>\n<color=#00B400>Clumsiness +10%</color>\n\nDamage Scaling Intelligence<color=#2779FA>High</color> Constitution<color=#2779FA>High</color> Polearm<color=#2779FA>High</color>\n\nOffensive Stance Heart 19 Defensive Stance Heart 12\\n\\nUpgrade Effect\n<color=#00B400>Polearm +1</color>\n<color=#00B400>Constitution +1</color>\n<color=#00B400>Body Art +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\nIntelligence 20/Constitution 20/<color=#B40000>Polearm 30</color>\n\n<color=grey><i>A complex and versatile spear technique said to be capable of hundreds of variations when used by someone with exceptional insight.</i></color>\n\nWeight 3\\nValue 2400
<size=18>"Cotton Lasso"</size>\n<i>Jianghu<color=#78BE00>Advanced Archery</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>基础伤害 1</color></b>\n<size=14><color=#0066FF>内力消耗 6</color></size>\n<color=#00B400>手臂点穴+10%</color>\n<color=#00B400>腿足点穴+10%</color>\n\n伤害加成 \n经脉<color=#78BE00>中</color> 射术<color=#2779FA>上</color> 内力<color=#78BE00>中</color>\n\n进攻架势 \n手18\n防御架势 \n手6\n\n升级效果\n<color=#00B400>射术+1</color>\n<color=#00B400>经脉+1</color>\n\n修炼需求<size=14>(经验80%)</size>\n经脉10/<color=#B40000>射术20</color>\n\n<color=grey><i>以极细之棉纱反复编织至拇指粗细而成，可以有效牵制被套住的敌人行动</i></color>\n\n重量2\n价值1400	<size=18>"Cotton Lasso"</size>\n<i>Jianghu<color=#78BE00>Advanced Archery</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 1</color></b>\n<size=14><color=#0066FF>Inner Force Cost 6</color></size>\n<color=#00B400>Arm Acupoint +10%</color>\n<color=#00B400>Leg Acupoint +10%</color>\n\nDamage Scaling Meridians<color=#78BE00>Medium</color> Archery<color=#2779FA>High</color>\nInner Force <color=#78BE00>Medium</color>\n\nOffensive Stance +18 Defensive Stance +6\\n\\nUpgrade Effect\n<color=#00B400>Archery +1</color>\n<color=#00B400>Meridians+1</color>\n\nTraining Requirement<size=14>(Experience 80%)</size>\nMeridians 10/<color=#B40000>Archery 20</color>\n\n<color=grey><i>Woven from extremely fine cotton thread until it's as thick as a thumb, it can effectively restrain an enemy once wrapped around them.</i></color>\n\nWeight 2\\nValue 1400
<size=18>《Heavenly King Heart Nourishing Needle》</size>\n<i>药王谷<color=#2779FA>上乘射术</color><color=#2779FA>善本</color></i>\n<color=#B40000>(未习得)</color>\n\n<b><color=#008B8B>基础治疗 9</color></b>\n<size=15><color=#0066FF>内力消耗 15</color></size>\n<color=#00B400>疗伤+6%</color>\n<color=#00B400>蓄力+6%</color>\n\n治疗加成 \n智力<color=#9A7CFF>精</color> 射术<color=#78BE00>中</color> 医术<color=#78BE00>中</color>\n\n升级效果\n<color=#00B400>射术+1</color>\n<color=#00B400>智力+1</color>\n<color=#00B400>体质+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n智力20/射术20/<color=#B40000>医术30</color>\n<i><color=grey>左Shift查看详情</color></i>\n\n重量3\n价值2800	<size=18>《Heavenly King Heart Nourishing Needle》</size>\n<i>Yaowang Valley<color=#2779FA>Superior Archery</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#008B8B>Basic Treatment 9</color></b>\n<size=15><color=#0066FF>Inner Force Cost 15</color></size>\n<color=#00B400>Heal +6%</color>\n<color=#00B400>Charge +6%</color>\n\nTreatment bonuses\nIntelligence<color=#9A7CFF>Superior</color> Archery<color=#78BE00>Medium</color> Medicine<color=#78BE00>Medium</color>\n\nUpgrade Effect\n<color=#00B400>Archery +1</color>\n<color=#00B400>Intelligence +1</color>\n<color=#00B400>Constitution +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\nIntelligence: 20 / Archery: 20<color=#B40000>Medicine 30</color>\n<i><color=grey>Left Shift for Details</color></i>\n\nWeight 3\\nValue 2800
<size=18>《焚天棍影》</size>\n<i>江湖<color=#9A7CFF>秘传长兵</color><color=#78BE00>仿本</color></i>\n<color=#B40000>(未习得)</color>\n\n<b><color=#FF8C00>基础伤害 16</color></b>\n<size=14><color=#0066FF>内力消耗 21</color></size>\n<color=#00B400>压制+5%</color>\n<color=#00B400>重碾+5%</color>\n\n伤害加成 \n意志<color=#2779FA>上</color> 长兵<color=#9A7CFF>精</color> 内力<color=#2779FA>上</color>\n\n升级效果\n<color=#00B400>长兵潜力+1</color>\n<color=#00B400>长兵+1</color>\n<color=#00B400>意志+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n<color=#B40000>意志30</color>/<color=#B40000>长兵40</color>\n<i><color=grey>左Shift查看详情</color></i>\n\n重量4\n价值4800	<size=18>"Heaven Burning Staff Shadow"</size>\n<i>Jianghu<color=#9A7CFF>Secret Polearm</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 16</color></b>\n<size=14><color=#0066FF>Inner Force Cost 21</color></size>\n<color=#00B400>Suppression +5%</color>\n<color=#00B400>Heavy Crush +5%</color>\n\nDamage Scaling\nWillpower<color=#2779FA>High</color> Polearm<color=#9A7CFF>Superior</color>\nInner Force <color=#2779FA>High</color>\n\nUpgrade Effect\n<color=#00B400>Polearm Potential +1</color>\n<color=#00B400>Polearm +1</color>\n<color=#00B400>Willpower +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\n<color=#B40000>Willpower 30</color>/<color=#B40000>Polearm 40</color>\n<i><color=grey>Left Shift for Details</color></i>\n\nWeight 4\\nValue 4800
<size=18>《百兽刀法》</size>\n<i>江湖<color=#2779FA>上乘刀法</color><color=#2779FA>善本</color></i>\n<color=#B40000>(未习得)</color>\n\n<b><color=#FF8C00>基础伤害 14</color></b>\n<size=14><color=#0066FF>内力消耗 12</color></size>\n<color=#00B400>活血+10%</color>\n\n伤害加成 \n体质<color=#9A7CFF>精</color> 刀法<color=#9A7CFF>精</color> 内力<color=#78BE00>中</color>\n\n进攻架势 \n胸8|手13\n防御架势 \n胸6|手4\n\n升级效果\n<color=#00B400>刀法+1</color>\n<color=#00B400>体质+1</color>\n<color=#00B400>绝技+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n体质15/<color=#B40000>刀法30</color>\n\n<color=grey><i>效仿百兽形意之刀法，其招式威猛霸道，颇具熊虎之姿，对修习者的体魄大有裨益</i></color>\n\n重量3\n价值2800	<size=18>Hundred Beasts Blade</size>\n<i>Jianghu<color=#2779FA>Superior Blade</color><color=#2779FA>Rare Edition</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n<b><color=#FF8C00>Base Damage 14</color></b>\n<size=14><color=#0066FF>Inner Force Cost 12</color></size>\n<color=#00B400>Blood Circulation +10%</color>\n\nDamage Scaling Constitution<color=#9A7CFF>Superior</color> Blade<color=#9A7CFF>Superior</color>\nInner Force <color=#78BE00>Medium</color>\n\nAttack Stance: Chest 8 | Hand 13  \\nDefense Stance: Chest 6 | Hand 4  \\n\\nUpgrade Effect\n<color=#00B400>Blade +1</color>\n<color=#00B400>Constitution +1</color>\n<color=#00B400>Body Art +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\nConstitution 15/<color=#B40000>Blade 30</color>\n\n<color=grey><i>A blade technique that mimics the forms and intentions of a hundred beasts. Its moves are fierce and domineering, resembling the stances of bears and tigers, greatly benefiting the practitioner's physique.</i></color>\n\nWeight 3\\nValue 2800
<size=18>Five Direction Jiedi Art</size>\n<i>Jianghu<color=#9A7CFF>Secret Ultimate Technique</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\n装备效果\n<color=#00B400>绝技+12</color>\n<color=#00B400>智力+3</color>\n<color=#00B400>意志+9</color>\n<color=#00B400>慧眼+5%</color>\n<color=#00B400>鹰眼+5%</color>\n\n升级效果\n<color=#00B400>绝技潜力+1</color>\n<color=#00B400>绝技+1</color>\n<color=#00B400>意志+1</color>\n\n修炼需求<size=14>(经验5%)</size>\n<color=#B40000>意志25</color>/<color=#B40000>绝技45</color>\n\n<color=grey><i>源于佛门的心神修炼之法，讲求临危不乱，神识铁铸，有如五方揭谛加持一般</i></color>\n\n重量4\n价值4800	<size=18>Five Direction Jiedi Art</size>\n<i>Jianghu<color=#9A7CFF>Secret Body Art</color><color=#78BE00>Copy</color></i>\n<color=#B40000>(Undiscovered)</color>\n\nEquipment Effect\n<color=#00B400>Body Art +12</color>\n<color=#00B400>Intelligence +3</color>\n<color=#00B400>Willpower +9</color>\n<color=#00B400>Insight +5%</color>\n<color=#00B400>Eagle Eye +5%</color>\n\nUpgrade Effect\n<color=#00B400>Body Art Potential +1</color>\n<color=#00B400>Body Art +1</color>\n<color=#00B400>Willpower +1</color>\n\nTraining Requirement<size=14>(EXP 5%)</size>\n<color=#B40000>Willpower 25</color>/<color=#B40000>Body Art 45</color>\n\n<color=grey><i>A mind cultivation technique originating from Buddhism, emphasizing composure in times of crisis and a spirit as resolute as iron, as if blessed by the Five Directional Guardians.</i></color>\n\nWeight 4\\nValue 4800
